kingdom,phylum,class,order,family,genus,reads,sample
Bacteria,Firmicutes_A,Clostridia,Tissierellales,Peptoniphilaceae,Ezakiella,313,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia,Monoglobales_A,UBA1381,CAG-41,553,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia,Monoglobales_A,UBA1381,MGYG000002758,228,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia,Monoglobales_A,UBA1381,HGM11521,177,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia,Monoglobales_A,UBA1381,UBA4716,88,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia,Monoglobales_A,UBA9506,MGYG000002685,18,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia,UMGS1840,UMGS1840,HGM11507,149,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia,Monoglobales,Firm-18,MGYG000001903,57,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia,Monoglobales,Monoglobaceae,Monoglobus,33,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia,HGM11514,HGM11514,HGM11514,59,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia,HGM11514,HGM11514,MGYG000002719,31,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia,UBA1212,UBA1255,UMGS1537,49,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia,UMGS1810,UMGS1810,MGYG000000674,16,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia,UMGS1810,UMGS1810,NSJ-50,11,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia,RUG12999,RUG12999,MGYG000002683,12,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia,UMGS1883,HGM11501,HGM11501,10,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia_A,Christensenellales,CAG-138,SFEL01,272,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia_A,Christensenellales,CAG-138,UBA5394,10,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia_A,Christensenellales,Borkfalkiaceae,UMGS1004,114,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia_A,Christensenellales,Borkfalkiaceae,Borkfalkia,42,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia_A,Christensenellales,UBA1242,UBA11517,113,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia_A,Christensenellales,UBA1242,UBA6345,14,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia_A,Christensenellales,QALW01,UMGS1322,98,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia_A,Christensenellales,UBA1750,UBA7102,66,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia_A,Christensenellales,Christensenellaceae,QAKS01,24,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia_A,Christensenellales,Christensenellaceae,QANA01,10,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia_A,Christensenellales,HGM11327,HGM11327,32,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia_A,Christensenellales,CAG-74,Firm-11,15,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia_A,Christensenellales,CAG-74,UMGS1600,14,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia_A,Christensenellales,HGM11417,HGM11417,13,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Clostridia_A,Christensenellales,CAG-552,HGM11386,10,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,Thermoanaerobacteria,Caldanaerobiales,UBA4877,UBA4877,123,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_C,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium_A,150310,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_C,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,378,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_C,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,12510,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_C,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas_A,187,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_C,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,9685,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_C,Negativicutes,Veillonellales,Veillonellaceae,Veillonella_A,24,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_C,Negativicutes,Veillonellales,Dialisteraceae,Allisonella,103,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_C,Negativicutes,Veillonellales,Dialisteraceae,Dialister,49,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_C,Negativicutes,Veillonellales,Dialisteraceae,UBA1822,34,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_C,Negativicutes,Veillonellales,Megasphaeraceae,Anaeroglobus,12,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_C,Negativicutes,Veillonellales,Megasphaeraceae,Megasphaera,11,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Sutterella,87477,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Parasutterella,984,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Oxalobacter,83,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,23,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Haemophilus_D,5650,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,724,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,96,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,61,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter_A,12,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,51-20,44139,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-495,1271,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-877,21485,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,RF39,UBA660,RUG705,2598,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,RF39,UBA660,HGM10836,1747,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-460,687,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-582,69,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,RF39,UBA660,UMGS2016,42,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,RF39,UBA660,UBA5026,424,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,RF39,UBA660,RUG11198,21,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,RF39,UBA660,UBA7057,15,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-710,14,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-884,13,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-776,11,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,15461,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus_A,17,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Granulicatella,152,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_A,92,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_B,12,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,33,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,9647,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemania,1020,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Clostridium_AQ,152,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,293,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalicoccus,27,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Faecalibacillus,2290,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Massiliomicrobiota,800,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,132,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium,87,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_G,Bacillus_A,4162,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,Bacillales_A,Planococcaceae,Lysinibacillus,396,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,ML615J-28,CAG-313,CAG-313,172,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Anaeroplasmataceae,UMGS268,99,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,Haloplasmatales_A,Turicibacteraceae,Turicibacter,31,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,21,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,Bacilli,RFN20,CAG-449,CAG-449,18,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,2793,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Adlercreutzia,129,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Slackia_A,151,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,CAG-1427,89,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Gordonibacter,19,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Eggerthella,11,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Lancefieldella,46,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,888,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Rothia,612,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Actinomycetaceae,Pauljensenia,108,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,11,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Bilophila,706,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Mailhella,21,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,18,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_B,Peptococcia,Peptococcales,Peptococcaceae,UMGS1590,544,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Cyanobacteria,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,Zag1,240,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Cyanobacteria,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,CAG-196,168,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Cyanobacteria,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,CAG-484,105,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Cyanobacteria,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,UBA2883,19,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D,350,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Spirochaetota,Brachyspirae,Brachyspirales,Brachyspiraceae,Brachyspira,103,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium_A,58,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,34,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium_B,29,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,Victivallaceae,UMGS1518,42,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,Victivallaceae,Victivallis,26,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,CAG-312,CAG-312,47,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,56,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_B,19,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,TM7x,38,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,60,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
